series,period,date,value,pct_change,base_period,source_table,source_level,ine_category,note,observations
Compra de vivienda,2007,2007-01-01,149.599,0.0,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2008,2008-01-01,147.336,-1.5127106464615236,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2009,2009-01-01,137.483,-8.098984618881133,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2010,2010-01-01,134.745,-9.92921075675639,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2011,2011-01-01,124.829,-16.557597310142448,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2012,2012-01-01,107.678,-28.022246138008946,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2013,2013-01-01,96.266,-35.65063937593165,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2014,2014-01-01,96.553,-35.45879317375116,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2015,2015-01-01,100.0,-33.15463338658681,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2016,2016-01-01,104.664,-30.03696548773721,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2017,2017-01-01,111.137,-25.71006490685097,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2018,2018-01-01,118.595,-20.724737464822617,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2019,2019-01-01,124.597,-16.712678560685568,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2020,2020-01-01,127.232,-14.951303150422124,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2021,2021-01-01,131.928,-11.81224473425624,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2022,2022-01-01,141.675,-5.296826850446845,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2023,2023-01-01,147.282,-1.5488071444327733,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2024,2024-01-01,159.656,6.722638520310986,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
Compra de vivienda,2025,2025-01-01,179.905,20.258156805861006,2007,25173,IPV,"Nacional, General, Media anual","Indice de Precios de Vivienda; compra de vivienda nueva y segunda mano. No incluye entrada, intereses ni coste financiero.",
