series,period,date,value,pct_change,base_period,source_table,source_level,ine_category,note,observations
IPC general,2002,2002-01-01,60.036249999999995,0.0,2002,76125,General,Índice general,,12
IPC general,2003,2003-01-01,61.86083333333334,3.0391360775087417,2002,76125,General,Índice general,,12
IPC general,2004,2004-01-01,63.741083333333336,6.170993913399547,2002,76125,General,Índice general,,12
IPC general,2005,2005-01-01,65.88808333333333,9.747166642375781,2002,76125,General,Índice general,,12
IPC general,2006,2006-01-01,68.20458333333333,13.605668797323855,2002,76125,General,Índice general,,12
IPC general,2007,2007-01-01,70.10516666666666,16.771395059929063,2002,76125,General,Índice general,,12
IPC general,2008,2008-01-01,72.96241666666667,21.530603038442074,2002,76125,General,Índice general,,12
IPC general,2009,2009-01-01,72.75233333333334,21.180675564068952,2002,76125,General,Índice general,,12
IPC general,2010,2010-01-01,74.06175,23.3617189614608,2002,76125,General,Índice general,,12
IPC general,2011,2011-01-01,76.42883333333333,27.304475768112326,2002,76125,General,Índice general,,12
IPC general,2012,2012-01-01,78.29825,30.418288950425797,2002,76125,General,Índice general,,12
IPC general,2013,2013-01-01,79.40124999999999,32.25551229465531,2002,76125,General,Índice general,,12
IPC general,2014,2014-01-01,79.28141666666666,32.05591066508428,2002,76125,General,Índice general,,12
IPC general,2015,2015-01-01,78.88475,31.39519873409815,2002,76125,General,Índice general,,12
IPC general,2016,2016-01-01,78.72483333333334,31.128831886290943,2002,76125,General,Índice general,,12
IPC general,2017,2017-01-01,80.2645,33.69339357471528,2002,76125,General,Índice general,,12
IPC general,2018,2018-01-01,81.60925,35.93329030377481,2002,76125,General,Índice general,,12
IPC general,2019,2019-01-01,82.17991666666667,36.88382713221874,2002,76125,General,Índice general,,12
IPC general,2020,2020-01-01,81.91483333333333,36.442288339683685,2002,76125,General,Índice general,,12
IPC general,2021,2021-01-01,84.4485,40.66251639634388,2002,76125,General,Índice general,,12
IPC general,2022,2022-01-01,91.53408333333334,52.464691471125114,2002,76125,General,Índice general,,12
IPC general,2023,2023-01-01,94.7675,57.850465343854765,2002,76125,General,Índice general,,12
IPC general,2024,2024-01-01,97.39641666666667,62.229347546968164,2002,76125,General,Índice general,,12
IPC general,2025,2025-01-01,100.00008333333334,66.56617182674358,2002,76125,General,Índice general,,12
Educación superior,2002,2002-01-01,46.822,0.0,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2003,2003-01-01,49.349,5.3970355815642135,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2004,2004-01-01,51.767500000000005,10.562342488573751,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2005,2005-01-01,54.1235,15.594165136047145,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2006,2006-01-01,56.816,21.34466703686302,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2007,2007-01-01,59.808,27.734825509375916,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2008,2008-01-01,62.889,34.31506556746828,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2009,2009-01-01,66.24925,41.49171329716799,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2010,2010-01-01,68.40775000000001,46.1017256845073,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2011,2011-01-01,70.718,51.035837854000256,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2012,2012-01-01,77.6035,65.74153175857502,2002,79183,Subgrupo,10.4 Educación Superior,,12
Educación superior,2013,2013-01-01,91.80624999999999,96.07502883260004,2002,79183,Subgrupo,10.4 Educación Superior,,12
