country,country_code,year,bin_start_eur_ppa,bin_end_eur_ppa,bin_midpoint_eur_ppa,adults_pct_raw,adults_pct_smoothed,bin_width_eur_ppa,note
España,ES,2024,0,5000,2500.0,0.5661,2.0333,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,5000,10000,7500.0,6.4351,4.8606,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,10000,15000,12500.0,6.0061,6.0318,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,15000,20000,17500.0,5.6799,8.1231,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,20000,25000,22500.0,15.1265,11.8187,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,25000,30000,27500.0,11.342,12.6891,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,30000,35000,32500.0,12.946,12.0043,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,35000,40000,37500.0,10.7831,10.9095,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,40000,45000,42500.0,9.1259,8.8583,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,45000,50000,47500.0,6.3984,6.6184,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,50000,55000,52500.0,4.551,4.4444,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,55000,60000,57500.0,2.2772,2.7148,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,60000,65000,62500.0,1.7538,1.7451,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,65000,70000,67500.0,1.1957,1.2626,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,70000,75000,72500.0,0.9053,0.9215,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,75000,80000,77500.0,0.6795,0.6961,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,80000,85000,82500.0,0.5201,0.5398,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,85000,90000,87500.0,0.4394,0.4394,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,90000,95000,92500.0,0.3585,0.3469,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,95000,100000,97500.0,0.2309,0.2628,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,100000,105000,102500.0,0.2309,0.2309,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,105000,110000,107500.0,0.2309,0.2301,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,110000,115000,112500.0,0.2275,0.2141,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,115000,120000,117500.0,0.1707,0.1849,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,120000,125000,122500.0,0.1707,0.1707,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
España,ES,2024,125000,130000,127500.0,0.1707,0.1707,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,0,5000,2500.0,0.2818,0.2818,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,5000,10000,7500.0,0.2818,0.2818,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,10000,15000,12500.0,0.2818,2.2623,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,15000,20000,17500.0,8.2035,5.6855,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,20000,25000,22500.0,6.053,7.8147,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,25000,30000,27500.0,10.9494,9.8107,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,30000,35000,32500.0,11.2911,11.3949,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,35000,40000,37500.0,12.0479,10.8224,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,40000,45000,42500.0,7.9025,9.7995,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,45000,50000,47500.0,11.345,9.8886,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,50000,55000,52500.0,8.9619,8.8917,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,55000,60000,57500.0,6.2979,6.483,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,60000,65000,62500.0,4.3745,4.7921,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,65000,70000,67500.0,4.1217,3.6244,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,70000,75000,72500.0,1.8797,2.1313,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,75000,80000,77500.0,0.644,0.9006,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,80000,85000,82500.0,0.4349,0.4795,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,85000,90000,87500.0,0.4042,0.4315,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,90000,95000,92500.0,0.4829,0.493,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,95000,100000,97500.0,0.6019,0.5278,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,100000,105000,102500.0,0.4244,0.4529,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,105000,110000,107500.0,0.3609,0.3768,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,110000,115000,112500.0,0.3609,0.3179,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,115000,120000,117500.0,0.1889,0.2304,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,120000,125000,122500.0,0.1828,0.1843,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Francia,FR,2024,125000,130000,127500.0,0.1828,0.1828,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,0,5000,2500.0,0.3347,0.3347,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,5000,10000,7500.0,0.3347,1.1261,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,10000,15000,12500.0,3.5002,3.424,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,15000,20000,17500.0,6.3608,5.2699,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,20000,25000,22500.0,4.8577,5.7481,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,25000,30000,27500.0,6.9162,9.3903,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,30000,35000,32500.0,18.8713,14.8417,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,35000,40000,37500.0,14.7082,14.2642,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,40000,45000,42500.0,8.769,10.2996,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,45000,50000,47500.0,8.9524,8.1341,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,50000,55000,52500.0,5.8628,6.2168,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,55000,60000,57500.0,4.189,4.2857,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,60000,65000,62500.0,2.9018,3.1997,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,65000,70000,67500.0,2.8063,2.5192,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,70000,75000,72500.0,1.5626,1.8612,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,75000,80000,77500.0,1.5133,1.4218,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,80000,85000,82500.0,1.0978,1.1378,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,85000,90000,87500.0,0.8423,0.8694,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,90000,95000,92500.0,0.6954,0.6887,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,95000,100000,97500.0,0.5216,0.5544,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,100000,105000,102500.0,0.4789,0.4537,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,105000,110000,107500.0,0.3355,0.3714,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,110000,115000,112500.0,0.3355,0.3275,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,115000,120000,117500.0,0.3035,0.2874,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,120000,125000,122500.0,0.2069,0.231,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Reino Unido,GB,2024,125000,130000,127500.0,0.2069,0.2069,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,0,5000,2500.0,0.3842,0.3842,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,5000,10000,7500.0,0.3842,1.6934,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,10000,15000,12500.0,5.6211,3.6665,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
Suiza,CH,2024,15000,20000,17500.0,3.0398,3.6372,5000,Estimated from WID percentile thresholds; top 1 percent is open-ended and not fully shown.
